measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,3,Both,22,All ages,386,Nutritional deficiencies,1,Number,1990,757152.4413375445,1010715.6805009285,551920.9026924218
1,Deaths,1,Global,3,Both,22,All ages,386,Nutritional deficiencies,2,Percent,1990,0.01623049244385328,0.021580488835145673,0.011972270431801813
1,Deaths,1,Global,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,1990,14.152785006578153,18.89241973998996,10.31657226468627
1,Deaths,1,Global,3,Both,27,Age-standardized,386,Nutritional deficiencies,3,Rate,1990,14.167369237188613,18.56350257016201,10.429818251253469
1,Deaths,1,Global,3,Both,22,All ages,526,Digestive diseases,1,Number,1990,1855372.283561366,1930247.5607376853,1754471.5352086972
1,Deaths,1,Global,3,Both,22,All ages,526,Digestive diseases,2,Percent,1990,0.03977915340943187,0.041253637094525265,0.03793987836532721
1,Deaths,1,Global,3,Both,22,All ages,526,Digestive diseases,3,Rate,1990,34.68084312060184,36.08042085730223,32.794794129046686
1,Deaths,1,Global,3,Both,27,Age-standardized,526,Digestive diseases,3,Rate,1990,46.66857293483256,48.755461555370644,44.062078533491764
1,Deaths,1,Global,3,Both,22,All ages,696,Unintentional injuries,1,Number,1990,1752059.8686214203,1860034.018452784,1622454.632916829
1,Deaths,1,Global,3,Both,22,All ages,696,Unintentional injuries,2,Percent,1990,0.03756226568896036,0.039343220307348645,0.03487607287581926
1,Deaths,1,Global,3,Both,22,All ages,696,Unintentional injuries,3,Rate,1990,32.749714965520546,34.76798083300138,30.327118224745803
1,Deaths,1,Global,3,Both,27,Age-standardized,696,Unintentional injuries,3,Rate,1990,36.65851676662518,38.65680283881717,33.96694541252232
1,Deaths,1,Global,3,Both,22,All ages,626,Musculoskeletal disorders,1,Number,1990,54413.94406371973,66141.40613799402,43115.55166963061
1,Deaths,1,Global,3,Both,22,All ages,626,Musculoskeletal disorders,2,Percent,1990,0.0011667199343377392,0.0014271724499197436,0.0009319499917361681
1,Deaths,1,Global,3,Both,22,All ages,626,Musculoskeletal disorders,3,Rate,1990,1.0171120234828344,1.2363231629421458,0.8059211063789744
1,Deaths,1,Global,3,Both,27,Age-standardized,626,Musculoskeletal disorders,3,Rate,1990,1.4836376792633104,1.782490808736991,1.1520678588823106
1,Deaths,1,Global,3,Both,22,All ages,640,Other non-communicable diseases,1,Number,1990,1268052.2586688234,1677592.0894571505,937324.9607641336
1,Deaths,1,Global,3,Both,22,All ages,640,Other non-communicable diseases,2,Percent,1990,0.02718556486125204,0.03627974681083891,0.02023067415927209
1,Deaths,1,Global,3,Both,22,All ages,640,Other non-communicable diseases,3,Rate,1990,23.702586182437013,31.35775423094582,17.520591530497548
1,Deaths,1,Global,3,Both,27,Age-standardized,640,Other non-communicable diseases,3,Rate,1990,22.344934305959317,28.734776735071556,17.263276328455184
1,Deaths,1,Global,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,1,Number,1990,442911.41111815284,589497.3762880346,327511.05152349616
1,Deaths,1,Global,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,2,Percent,1990,0.009495828070122819,0.012727323540474816,0.007029772861053117
1,Deaths,1,Global,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,3,Rate,1990,8.278953664128618,11.018956253787062,6.1218761855962756
1,Deaths,1,Global,3,Both,27,Age-standardized,955,HIV/AIDS and sexually transmitted infections,3,Rate,1990,8.069347291341668,10.722492135402296,6.042947003590832
1,Deaths,1,Global,3,Both,22,All ages,956,Respiratory infections and tuberculosis,1,Number,1990,5135020.433601262,5569732.385111053,4752400.388064552
1,Deaths,1,Global,3,Both,22,All ages,956,Respiratory infections and tuberculosis,2,Percent,1990,0.11008881330037258,0.11824317222162983,0.10221457066644885
1,Deaths,1,Global,3,Both,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,1990,95.98442299513839,104.1101113685915,88.83244282834117
1,Deaths,1,Global,3,Both,27,Age-standardized,956,Respiratory infections and tuberculosis,3,Rate,1990,107.53342047739214,114.6965672958238,100.52654660373369
1,Deaths,1,Global,3,Both,22,All ages,957,Enteric infections,1,Number,1990,3166775.406324639,3901528.990863726,2500759.017371465
1,Deaths,1,Global,3,Both,22,All ages,957,Enteric infections,2,Percent,1990,0.06789017836123876,0.08315715174550707,0.053620677445767345
1,Deaths,1,Global,3,Both,22,All ages,957,Enteric infections,3,Rate,1990,59.19374889772207,72.9278517640147,46.744490004677594
1,Deaths,1,Global,3,Both,27,Age-standardized,957,Enteric infections,3,Rate,1990,62.876066455176435,80.58173057767668,47.84348410701152
1,Deaths,1,Global,3,Both,22,All ages,961,Other infectious diseases,1,Number,1990,2151771.2780423514,3062207.9769127006,1584255.8975909373
1,Deaths,1,Global,3,Both,22,All ages,961,Other infectious diseases,2,Percent,1990,0.046131780677231705,0.06572949994690472,0.033806363432593765
1,Deaths,1,Global,3,Both,22,All ages,961,Other infectious diseases,3,Rate,1990,40.22116897314071,57.23916186034384,29.61310284412377
1,Deaths,1,Global,3,Both,27,Age-standardized,961,Other infectious diseases,3,Rate,1990,36.25014391183824,50.78558530929361,27.41736792179178
1,Deaths,1,Global,3,Both,22,All ages,962,Maternal and neonatal disorders,1,Number,1990,3308531.1990581476,3546852.3958717627,3090571.102952572
1,Deaths,1,Global,3,Both,22,All ages,962,Maternal and neonatal disorders,2,Percent,1990,0.07092764371961098,0.07510283850674265,0.06694614703739452
1,Deaths,1,Global,3,Both,22,All ages,962,Maternal and neonatal disorders,3,Rate,1990,61.84346532001936,66.29819395439449,57.769328842633
1,Deaths,1,Global,3,Both,27,Age-standardized,962,Maternal and neonatal disorders,3,Rate,1990,51.28994190804223,54.93001512088646,47.96368469341928
1,Deaths,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,1990,1034118.5886180256,1551483.955014314,638521.2806836255
1,Deaths,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,2,Percent,1990,0.022174290806184885,0.033312143888672034,0.013757243882793521
1,Deaths,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1990,19.329869728957682,29.000525729909455,11.935317003899904
1,Deaths,1,Global,3,Both,27,Age-standardized,344,Neglected tropical diseases and malaria,3,Rate,1990,18.064250156138737,27.017213197936716,11.25741882609244
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,1990,12068420.501912128,12551668.939562203,11434791.39783723
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,2,Percent,1990,0.2587537075855962,0.2684497818176749,0.2461711619150127
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,1990,225.58437562561866,234.61731386820605,213.74050377856884
1,Deaths,1,Global,3,Both,27,Age-standardized,491,Cardiovascular diseases,3,Rate,1990,354.4985993367424,369.4898540751299,330.5874531010949
1,Deaths,1,Global,3,Both,22,All ages,410,Neoplasms,1,Number,1990,5755373.149126623,5992159.822652028,5506758.901611175
1,Deaths,1,Global,3,Both,22,All ages,410,Neoplasms,2,Percent,1990,0.1233957535156163,0.1273418451994395,0.1188289040933569
1,Deaths,1,Global,3,Both,22,All ages,410,Neoplasms,3,Rate,1990,107.58013098171979,112.00617612120041,102.93300339874249
1,Deaths,1,Global,3,Both,27,Age-standardized,410,Neoplasms,3,Rate,1990,147.92540271719704,153.8292510009618,141.18403683841024
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,1990,873338.8838236403,1848823.3813425875,450771.21802389843
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,2,Percent,1990,0.018732449580676862,0.039620547378536215,0.009655420175501698
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,3,Rate,1990,16.324556041589357,34.55843024827752,8.425870125407828
1,Deaths,1,Global,3,Both,27,Age-standardized,542,Neurological disorders,3,Rate,1990,30.304136931593774,67.70686892997362,13.669463076537795
1,Deaths,1,Global,3,Both,22,All ages,558,Mental disorders,1,Number,1990,178.10203043999934,212.82965434182557,159.96899560661683
1,Deaths,1,Global,3,Both,22,All ages,558,Mental disorders,2,Percent,1990,3.818921146030343e-06,4.577894804943718e-06,3.405626274401032e-06
1,Deaths,1,Global,3,Both,22,All ages,558,Mental disorders,3,Rate,1990,0.003329104693368655,0.003978237639441721,0.002990159813180061
1,Deaths,1,Global,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,1990,0.003368585449203792,0.004007336876245146,0.0030311556906815304
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,1990,3093755.112156317,3339171.1879481077,2583800.0942935846
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,2,Percent,1990,0.06632658664692383,0.07103601792623385,0.055999982963983855
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,3,Rate,1990,57.82884472775642,62.416191698075274,48.29670385783157
1,Deaths,1,Global,3,Both,27,Age-standardized,508,Chronic respiratory diseases,3,Rate,1990,87.89214471557217,95.10386743556704,73.87420786726302
1,Deaths,1,Global,3,Both,22,All ages,717,Self-harm and interpersonal violence,1,Number,1990,1234342.1946376967,1291507.3239101195,1146976.26002996
1,Deaths,1,Global,3,Both,22,All ages,717,Self-harm and interpersonal violence,2,Percent,1990,0.026464408057432207,0.027465981959498686,0.02458270657950743
1,Deaths,1,Global,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,1990,23.072473588534898,24.141011098678344,21.439418972455492
1,Deaths,1,Global,3,Both,27,Age-standardized,717,Self-harm and interpersonal violence,3,Rate,1990,24.62670581825212,25.770530850335536,22.84612513776591
1,Deaths,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,1991,1045428.8527226214,1585888.7581192586,647353.0302466115
1,Deaths,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,2,Percent,1991,0.022168567392589714,0.0337653836792073,0.01376515706873697
1,Deaths,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1991,19.243090839753044,29.19127528837108,11.915754127105672
1,Deaths,1,Global,3,Both,27,Age-standardized,344,Neglected tropical diseases and malaria,3,Rate,1991,18.1031597604037,27.61070184808082,11.273435589080776
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,1991,12226555.179372603,12762635.494929936,11595302.2369669
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,2,Percent,1991,0.25925902608597773,0.26903706044575376,0.24666563052356427
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,1991,225.0528205350238,234.92039036802325,213.43341890674526
1,Deaths,1,Global,3,Both,27,Age-standardized,491,Cardiovascular diseases,3,Rate,1991,349.7234310998271,365.59861821586117,327.1806810992646
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,1991,3149298.535996409,3394811.573318632,2648925.869511584
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,2,Percent,1991,0.06677692701672981,0.0713310159282597,0.05652314780270363
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,3,Rate,1991,57.96878252580543,62.487913279879685,48.75847935709088
1,Deaths,1,Global,3,Both,27,Age-standardized,508,Chronic respiratory diseases,3,Rate,1991,87.31480745392274,94.13524375882723,73.66665197704408
1,Deaths,1,Global,3,Both,22,All ages,653,Skin and subcutaneous diseases,1,Number,1990,49281.546736515,62439.71458450609,38917.73570347728
1,Deaths,1,Global,3,Both,22,All ages,653,Skin and subcutaneous diseases,2,Percent,1990,0.0010565685898334875,0.0013317449562605312,0.0008364922822833914
1,Deaths,1,Global,3,Both,22,All ages,653,Skin and subcutaneous diseases,3,Rate,1990,0.9211766319097082,1.1671306967267123,0.7274550226386943
1,Deaths,1,Global,3,Both,27,Age-standardized,653,Skin and subcutaneous diseases,3,Rate,1990,1.3722266152816016,1.7267859212281753,1.0753580200252486
1,Deaths,1,Global,3,Both,22,All ages,688,Transport injuries,1,Number,1990,1190096.6240440612,1288043.1973197283,1118542.8171957827
1,Deaths,1,Global,3,Both,22,All ages,688,Transport injuries,2,Percent,1990,0.0255146143284804,0.027706279054186107,0.024271959942843462
1,Deaths,1,Global,3,Both,22,All ages,688,Transport injuries,3,Rate,1990,22.245430031759334,24.076259225485185,20.90793762014279
1,Deaths,1,Global,3,Both,27,Age-standardized,688,Transport injuries,3,Rate,1990,23.430020241224817,25.463929179175892,22.061895332971886
1,Deaths,1,Global,3,Both,22,All ages,973,Substance use disorders,1,Number,1990,172578.98959476675,180262.64463747846,162470.49047216782
1,Deaths,1,Global,3,Both,22,All ages,973,Substance use disorders,2,Percent,1990,0.0037001464017279756,0.0038418266250373253,0.0034947340115086658
1,Deaths,1,Global,3,Both,22,All ages,973,Substance use disorders,3,Rate,1990,3.225867345910546,3.3694911552614077,3.036918057747907
1,Deaths,1,Global,3,Both,27,Age-standardized,973,Substance use disorders,3,Rate,1990,3.742904625814659,3.907085052089374,3.530688689371752
1,Deaths,1,Global,3,Both,22,All ages,653,Skin and subcutaneous diseases,1,Number,1991,50536.00476382155,63665.752449257016,39722.114241170275
1,Deaths,1,Global,3,Both,22,All ages,653,Skin and subcutaneous diseases,2,Percent,1991,0.0010715784541363133,0.001342162565704914,0.0008469435288898964
1,Deaths,1,Global,3,Both,22,All ages,653,Skin and subcutaneous diseases,3,Rate,1991,0.9302105330418218,1.171888316045298,0.7311604713216143
1,Deaths,1,Global,3,Both,27,Age-standardized,653,Skin and subcutaneous diseases,3,Rate,1991,1.3750369873617951,1.7252913467573552,1.071191130094334
1,Deaths,1,Global,3,Both,22,All ages,688,Transport injuries,1,Number,1991,1196406.387737929,1302094.1686736231,1131728.488508549
1,Deaths,1,Global,3,Both,22,All ages,688,Transport injuries,2,Percent,1991,0.025368132261138564,0.02762415048524017,0.024163033771604718
1,Deaths,1,Global,3,Both,22,All ages,688,Transport injuries,3,Rate,1991,22.022117278037438,23.967500327205226,20.831598490504476
1,Deaths,1,Global,3,Both,27,Age-standardized,688,Transport injuries,3,Rate,1991,23.171067328076663,25.236650452893958,21.924018335184915
1,Deaths,1,Global,3,Both,22,All ages,974,Diabetes and kidney diseases,1,Number,1990,1278866.3804509763,1337306.2856735184,1213494.069995165
